# subnet,Country,Country_city,Country_Region,Company_or_ISP,Org_name,Country_latitude,Country_longitude,As_number,Postal_code
46.8.37.0/24,Georgia,Tbilisi,GE-TB,ISP,SIACOM,41.722062,44.789827,198150,0159
5.59.56.0/24,Georgia,Tbilisi,GE-TB,ISP,GEORGIAN AIRLINK,41.722062,44.789827,209046,0159
185.57.230.0/24,Georgia,Tbilisi,GE-TB,ISP,LUKNET,41.722062,44.789827,210797,0159
5.59.0.0/23,Georgia,Zugdidi,GE-SZ,ISP,ORDUNET,42.5127,41.8705,203136,2100
5.59.0.0/24,Georgia,Zugdidi,GE-SZ,ISP,ORDUNET,42.5127,41.8705,203136,2100
5.59.1.0/24,Georgia,Zugdidi,GE-SZ,ISP,ORDUNET,42.5127,41.8705,203136,2100
2a13:9cc0::/29,Georgia,Tbilisi,GE-TB,ISP,SIACOM,41.722062,44.789827,198150,0159
2a00:1c28:6::/48,Georgia,Tbilisi,GE-TB,ISP,SIACOM,41.722062,44.789827,198150,0159
2a13:9cc0::/32,Georgia,Tbilisi,GE-TB,ISP,SIACOM,41.722062,44.789827,198150,0159
2a13:9cc1::/32,Georgia,Tbilisi,GE-TB,ISP,SIACOM,41.722062,44.789827,198150,0159
2a13:9cc2::/32,Georgia,Tbilisi,GE-TB,ISP,SIACOM,41.722062,44.789827,198150,0159
2a13:9cc3::/32,Georgia,Tbilisi,GE-TB,ISP,SIACOM,41.722062,44.789827,198150,0159
2a13:9cc4::/32,Georgia,Tbilisi,GE-TB,ISP,SIACOM,41.722062,44.789827,198150,0159
2a13:9cc5::/32,Georgia,Tbilisi,GE-TB,ISP,SIACOM,41.722062,44.789827,198150,0159
2a13:9cc6::/32,Georgia,Tbilisi,GE-TB,ISP,SIACOM,41.722062,44.789827,198150,0159
2a13:9cc7::/32,Georgia,Tbilisi,GE-TB,ISP,SIACOM,41.722062,44.789827,198150,0159
